S_INFO_WINDCODE,S_CON_WINDCODE,S_CON_INDATE,S_CON_OUTDATE,CUR_SIGN
000016.SH,600000.SH,20040102,20220610,0
000016.SH,600004.SH,20040102,20070122,0
000016.SH,600006.SH,20040102,20050630,0
000016.SH,600008.SH,20040102,20050630,0
000016.SH,600009.SH,20040102,20091231,0
000016.SH,600011.SH,20040102,20080630,0
000016.SH,600015.SH,20040102,20160608,0
000016.SH,600016.SH,20040102,20211210,0
000016.SH,T00018.SH,20040102,20061019,0
000016.SH,600019.SH,20040102,20131213,0
000016.SH,600026.SH,20040102,20071228,0
000016.SH,600028.SH,20040102,,1
000016.SH,600029.SH,20040102,20070629,0
000016.SH,600030.SH,20040102,,1
000016.SH,600033.SH,20040102,20060630,0
000016.SH,600036.SH,20040102,,1
000016.SH,600038.SH,20040102,20040630,0
000016.SH,600050.SH,20040102,20220610,0
000016.SH,600098.SH,20040102,20040630,0
000016.SH,600100.SH,20040102,20080630,0
000016.SH,600104.SH,20040102,20241213,0
000016.SH,600171.SH,20040102,20060630,0
000016.SH,600221.SH,20040102,20040630,0
000016.SH,600350.SH,20040102,20050630,0
000016.SH,600569.SH,20040102,20051230,0
000016.SH,600591.SH,20040102,20051230,0
000016.SH,600597.SH,20040102,20040630,0
000016.SH,600601.SH,20040102,20081231,0
000016.SH,600602.SH,20040102,20060630,0
000016.SH,600609.SH,20040102,20050630,0
000016.SH,600637.SH,20040102,20041231,0
000016.SH,600642.SH,20040102,20091231,0
000016.SH,600643.SH,20040102,20051230,0
000016.SH,600649.SH,20040102,20070629,0
000016.SH,600652.SH,20040102,20041231,0
000016.SH,600664.SH,20040102,20041231,0
000016.SH,600688.SH,20040102,20071228,0
000016.SH,600705.SH,20040102,20050630,0
000016.SH,600717.SH,20040102,20081231,0
000016.SH,600795.SH,20040102,20101231,0
000016.SH,600805.SH,20040102,20041231,0
000016.SH,600808.SH,20040102,20060630,0
000016.SH,600811.SH,20040102,20041231,0
000016.SH,600812.SH,20040102,20051230,0
000016.SH,600832.SH,20040102,20080630,0
000016.SH,600839.SH,20040102,20061229,0
000016.SH,600863.SH,20040102,20040630,0
000016.SH,600887.SH,20040102,20081231,0
000016.SH,600895.SH,20040102,20070629,0
000016.SH,600900.SH,20040102,20121231,0
000016.SH,600002.SH,20040701,20060421,0
000016.SH,600005.SH,20040701,20110630,0
000016.SH,600020.SH,20040701,20061229,0
000016.SH,600021.SH,20040701,20051230,0
000016.SH,600205.SH,20040701,20070427,0
000016.SH,600210.SH,20050104,20061229,0
000016.SH,600500.SH,20050104,20061229,0
000016.SH,600660.SH,20050104,20070528,0
000016.SH,600780.SH,20050104,20060630,0
000016.SH,600879.SH,20050104,20071022,0
000016.SH,600177.SH,20060104,20091231,0
000016.SH,600428.SH,20060104,20070216,0
000016.SH,600027.SH,20060104,20060814,0
000016.SH,600058.SH,20060104,20061229,0
000016.SH,600309.SH,20060104,20080630,0
000016.SH,600098.SH,20050701,20061109,0
000016.SH,600188.SH,20050701,20070517,0
000016.SH,600320.SH,20050701,20100630,0
000016.SH,600519.SH,20050701,,1
000016.SH,600797.SH,20050701,20060718,0
000016.SH,601006.SH,20060815,20190614,0
000016.SH,600331.SH,20070104,20071228,0
000016.SH,600048.SH,20070104,,1
000016.SH,600037.SH,20070104,20071228,0
000016.SH,600362.SH,20070104,20140613,0
000016.SH,600550.SH,20070104,20070629,0
000016.SH,600269.SH,20060424,20071116,0
000016.SH,600018.SH,20061026,20100630,0
000016.SH,600001.SH,20060703,20090630,0
000016.SH,600010.SH,20060703,20090630,0
000016.SH,600085.SH,20060703,20070314,0
000016.SH,600418.SH,20060703,20070629,0
000016.SH,600583.SH,20060703,20071228,0
000016.SH,601398.SH,20061110,,1
000016.SH,601988.SH,20060719,20110630,0
000016.SH,601166.SH,20070226,,1
000016.SH,601318.SH,20070315,,1
000016.SH,601600.SH,20070430,20121231,0
000016.SH,601088.SH,20071023,,1
000016.SH,601998.SH,20070518,20091231,0
000016.SH,600811.SH,20070702,20081231,0
000016.SH,601111.SH,20070702,20120629,0
000016.SH,601333.SH,20070702,20091231,0
000016.SH,601588.SH,20070702,20090630,0
000016.SH,601872.SH,20070702,20080630,0
000016.SH,601857.SH,20071119,,1
000016.SH,601328.SH,20070529,20201211,0
000016.SH,601628.SH,20070123,,1
000016.SH,600739.SH,20080102,20101231,0
000016.SH,601939.SH,20080102,20111230,0
000016.SH,601168.SH,20080102,20120629,0
000016.SH,600881.SH,20080102,20081231,0
000016.SH,600497.SH,20080102,20090630,0
000016.SH,600837.SH,20090105,20180608,0
000016.SH,601169.SH,20090105,20190614,0
000016.SH,601186.SH,20090105,20101231,0
000016.SH,601898.SH,20090105,20130628,0
000016.SH,601899.SH,20090105,20140613,0
000016.SH,600029.SH,20080701,20100630,0
000016.SH,601390.SH,20080701,20111230,0
000016.SH,601601.SH,20080701,20230609,0
000016.SH,601919.SH,20080701,20111230,0
000016.SH,601991.SH,20080701,20090630,0
000016.SH,600550.SH,20090701,20101231,0
000016.SH,600598.SH,20090701,20100630,0
000016.SH,601727.SH,20090701,20100728,0
000016.SH,601766.SH,20090701,20101231,0
000016.SH,601958.SH,20090701,20121231,0
000016.SH,600489.SH,20100104,20140613,0
000016.SH,600547.SH,20100104,20141212,0
